timestamp,event,task_id,retry,node_name,node_ip,node_port,job_id,queue_len,state_from,state_to,source,module_name,function_name,arg_count,coordinator_ip,coordinator_port,status,started_at,finished_at,callback_ok,error
"2026-03-03T16:52:09.252","CONDUCTOR_START","","","conductor","192.168.12.4","9004","","","","","","","","","","","","","","",""
"2026-03-03T16:52:09.658","NODE_STATE_CHANGED","","","ID-10","192.168.12.3","8003","","0","down","idle","","","","","","","","","","",""
"2026-03-03T16:52:09.659","NODE_STATE_CHANGED","","","Crosshair","192.168.12.5","8005","","0","down","idle","","","","","","","","","","",""
"2026-03-03T16:52:09.659","NODE_STATE_CHANGED","","","Wrecker","192.168.12.6","8006","","0","down","idle","","","","","","","","","","",""
"2026-03-03T16:52:09.659","NODE_STATE_CHANGED","","","Echo","192.168.12.7","8007","","0","down","idle","","","","","","","","","","",""
"2026-03-03T16:52:09.659","NODE_STATE_CHANGED","","","Hunter","192.168.12.8","8008","","0","down","idle","","","","","","","","","","",""
"2026-03-03T16:52:09.659","NODE_STATE_CHANGED","","","Tech","192.168.12.9","8009","","0","down","idle","","","","","","","","","","",""
"2026-03-03T16:52:09.659","NODE_STATE_CHANGED","","","Omega","192.168.12.10","8010","","0","down","idle","","","","","","","","","","",""
"2026-03-03T16:52:09.659","NODE_STATE_CHANGED","","","GNK_EG-6","192.168.12.11","8011","","0","down","idle","","","","","","","","","","",""
"2026-03-03T16:52:09.661","NODE_STATE_CHANGED","","","C-3PX","192.168.12.12","8012","","0","down","idle","","","","","","","","","","",""
"2026-03-03T16:52:09.661","NODE_STATE_CHANGED","","","D-O","192.168.12.13","8013","","0","down","idle","","","","","","","","","","",""
"2026-03-03T16:52:26.350","TASK_QUEUED","213bf504-414f-4974-890f-21811d534928","0","","","","","1","","","Julia_GeneralObjectiveFunction","Julia_GeneralObjectiveFunction","objective_from_string","1","192.168.12.2","13000","","","","",""
"2026-03-03T16:52:26.612","DISPATCH_START","213bf504-414f-4974-890f-21811d534928","0","D-O","192.168.12.13","8013","","0","","","Julia_GeneralObjectiveFunction","Julia_GeneralObjectiveFunction","objective_from_string","1","192.168.12.2","13000","","","","",""
"2026-03-03T16:52:26.658","NODE_STATE_CHANGED","","","D-O","192.168.12.13","8013","","0","idle","busy","","","","","","","","","","",""
"2026-03-03T16:52:26.672","DISPATCH_OK","213bf504-414f-4974-890f-21811d534928","0","D-O","192.168.12.13","8013","829d8562-4576-48bd-bd01-d5ffd09cc5d6","0","","","Julia_GeneralObjectiveFunction","Julia_GeneralObjectiveFunction","objective_from_string","1","192.168.12.2","13000","","","","",""
"2026-03-03T16:52:26.769","NODE_STATE_CHANGED","","","D-O","192.168.12.13","8013","","0","busy","idle","","","","","","","","","","",""
